Some messages have been moved to the Issues panel.
​ Sat Jan 23 2021 00:20:26 GMT-0800 (Pacific Standard Time)
​ CovidSIMVL Mode1 and Mod2 Hybrid 35d
​ Mode 1 >13 and <36 is 75%
​ Mode 2 >28 is 95%; >13 and <29 is 75%
​ exit covidSim
​ getAsText File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ getAsText File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ Red Days changed to 9.9
​ New Hazard Radius = 1.3
​ new Mingle Factor = 7.5
​ 93I x:ageGp:fam 771:5:-1 by red 993:9:-1 at gen297 Univ0 prob=0.579
​ 93I x:ageGp:fam 980:8:-1 by red 930:7:-1 at gen297 Univ0 prob=0.191
​ 95I x:ageGp:fam 192:2:-1 by red 930:7:-1 at gen298 Univ0 prob=0.032
​ 98I x:ageGp:fam 44:1:-1 by red 168:2:-1 at gen299 Univ0 prob=0.548
​ 99I x:ageGp:fam 602:4:-1 by blue 836:6:-1 at gen300 Univ0 prob=0.579
​ 101I x:ageGp:fam 986:9:-1 by blue 837:6:-1 at gen302 Univ0 prob=0.686
​ 102I x:ageGp:fam 49:1:-1 by blue 277:2:-1 at gen305 Univ0 prob=0.415
​ 102I x:ageGp:fam 407:3:-1 by blue 561:4:-1 at gen305 Univ0 prob=0.605
​ 102I x:ageGp:fam 412:3:-1 by red 600:4:-1 at gen305 Univ0 prob=0.935
​ 102I x:ageGp:fam 800:5:-1 by blue 684:4:-1 at gen305 Univ0 prob=0.833
​ 102I x:ageGp:fam 83:1:-1 by red 600:4:-1 at gen306 Univ0 prob=0.742
​ 102I x:ageGp:fam 587:4:-1 by red 754:5:-1 at gen306 Univ0 prob=0.013
​ 102I x:ageGp:fam 990:9:-1 by red 600:4:-1 at gen306 Univ0 prob=0.681
​ 102I x:ageGp:fam 972:8:-1 by blue 735:5:-1 at gen306 Univ0 prob=0.901
​ 102I x:ageGp:fam 761:5:-1 by red 993:9:-1 at gen306 Univ0 prob=0.536
​ 106I x:ageGp:fam 124:1:-1 by blue 54:1:-1 at gen307 Univ0 prob=0.223
​ 111I x:ageGp:fam 197:2:-1 by red 73:1:-1 at gen308 Univ0 prob=0.899
​ 111I x:ageGp:fam 939:7:-1 by blue 704:5:-1 at gen308 Univ0 prob=0.706
​ 114I x:ageGp:fam 58:1:-1 by blue 263:2:-1 at gen310 Univ0 prob=0.879
​ 114I x:ageGp:fam 679:4:-1 by red 993:9:-1 at gen310 Univ0 prob=0.466
​ 114I x:ageGp:fam 818:5:-1 by blue 837:6:-1 at gen310 Univ0 prob=0.088
​ 114I x:ageGp:fam 218:2:-1 by red 54:1:-1 at gen311 Univ0 prob=0.397
​ 114I x:ageGp:fam 995:9:-1 by red 168:2:-1 at gen311 Univ0 prob=0.413
​ 114I x:ageGp:fam 297:2:-1 by red 600:4:-1 at gen311 Univ0 prob=0.324
​ 117I x:ageGp:fam 452:3:-1 by red 901:6:-1 at gen312 Univ0 prob=0.537
​ 120I x:ageGp:fam 708:5:-1 by blue 84:1:-1 at gen313 Univ0 prob=0.654
