​ Wed Jan 20 2021 14:32:39 GMT-0800 (Pacific Standard Time)
​ CovidSIMVL Mode1 and Mod2 Hybrid 35d
​ Mode 1 >13 and <36 is 75%
​ Mode 2 >28 is 95%; >13 and <29 is 75%
​ exit covidSim
​ getAsText File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ getAsText File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ Red Days changed to 10
​ New Hazard Radius = 1.7
​ new Mingle Factor = 7
​ 105I j:ageGp:fam 711:5:-1 by blue 405:3:-1 at gen192 Univ0 prob=0.237
​ 110I j:ageGp:fam 554:4:-1 by red 403:3:-1 at gen193 Univ0 prob=0.838
​ 110I i:ageGp:fam 629:4:-1 by blue 712:5:-1 at gen193 Univ0 prob=0.252
​ 111I i:ageGp:fam 417:3:-1 by blue 497:3:-1 at gen194 Univ0 prob=0.927
​ 113I i:ageGp:fam 281:2:-1 by blue 965:8:-1 at gen195 Univ0 prob=0.372
​ 113I j:ageGp:fam 650:4:-1 by blue 340:2:-1 at gen195 Univ0 prob=0.764
​ 113I i:ageGp:fam 404:3:-1 by green 650:4:-1 at gen195 Univ0 prob=0.581
​ 114I j:ageGp:fam 288:2:-1 by blue 168:2:-1 at gen196 Univ0 prob=0.003
​ 117I j:ageGp:fam 728:5:-1 by blue 340:2:-1 at gen197 Univ0 prob=0.145
​ 117I i:ageGp:fam 385:3:-1 by yellow 650:4:-1 at gen197 Univ0 prob=0.210
​ 117I j:ageGp:fam 808:5:-1 by blue 411:3:-1 at gen197 Univ0 prob=0.491
​ 117I i:ageGp:fam 437:3:-1 by red 739:5:-1 at gen197 Univ0 prob=0.008
​ 117I j:ageGp:fam 975:8:-1 by blue 686:4:-1 at gen197 Univ0 prob=0.922
​ 118I j:ageGp:fam 512:3:-1 by blue 340:2:-1 at gen198 Univ0 prob=0.329
​ 118I j:ageGp:fam 572:4:-1 by blue 400:3:-1 at gen198 Univ0 prob=0.259
​ 118I i:ageGp:fam 510:3:-1 by blue 586:4:-1 at gen198 Univ0 prob=0.513
​ 118I i:ageGp:fam 524:3:-1 by blue 802:5:-1 at gen198 Univ0 prob=0.769
​ 118I j:ageGp:fam 913:7:-1 by blue 712:5:-1 at gen198 Univ0 prob=0.073
​ 123I i:ageGp:fam 204:2:-1 by blue 205:2:-1 at gen199 Univ0 prob=0.402
​ 123I i:ageGp:fam 563:4:-1 by blue 965:8:-1 at gen199 Univ0 prob=0.499
​ 128I j:ageGp:fam 817:5:-1 by blue 205:2:-1 at gen200 Univ0 prob=0.096
​ 128I i:ageGp:fam 215:2:-1 by red 739:5:-1 at gen200 Univ0 prob=0.407
​ 128I j:ageGp:fam 927:7:-1 by blue 686:4:-1 at gen200 Univ0 prob=0.073
​ 128I i:ageGp:fam 691:5:-1 by yellow 728:5:-1 at gen200 Univ0 prob=0.260
​ 130I i:ageGp:fam 43:1:-1 by red 496:3:-1 at gen201 Univ0 prob=0.838
​ 130I i:ageGp:fam 72:1:-1 by blue 168:2:-1 at gen201 Univ0 prob=0.205
​ 130I j:ageGp:fam 410:3:-1 by blue 200:2:-1 at gen201 Univ0 prob=0.480
​ 130I j:ageGp:fam 945:7:-1 by blue 200:2:-1 at gen201 Univ0 prob=0.868
​ 130I j:ageGp:fam 261:2:-1 by blue 249:2:-1 at gen201 Univ0 prob=0.935
​ 130I i:ageGp:fam 418:3:-1 by blue 795:5:-1 at gen201 Univ0 prob=0.295
​ 130I i:ageGp:fam 509:3:-1 by blue 628:4:-1 at gen201 Univ0 prob=0.520
​ 134I j:ageGp:fam 600:4:-1 by blue 326:2:-1 at gen202 Univ0 prob=0.790
​ 134I j:ageGp:fam 729:5:-1 by blue 326:2:-1 at gen202 Univ0 prob=0.651
