Biter,Victim,Gens,,,Biter
755,47,421,,,
755,360,461,,,
755,841,518,,,
759,281,394,,,
759,334,438,,,
759,809,466,,,
759,345,516,,,
760,555,476,,,
763,866,411,,,
763,464,456,,,
763,402,471,,,
763,905,476,,,
763,861,495,,,
763,470,509,,,
765,568,492,,,
766,79,507,,,
766,128,508,,,
766,10,532,,,
766,143,602,,,
771,193,551,,,
773,777,447,,,
775,890,287,,,
775,87,299,,,
775,759,299,,,
775,540,339,,,
775,344,342,,,
777,955,535,,,
780,208,478,,,
782,903,475,,,
783,657,528,,,
787,834,544,,,
787,46,571,,,
788,502,475,,,
792,627,675,,,
793,330,351,,,
793,731,366,,,
793,994,381,,,
796,599,573,,,
798,293,423,,,
798,307,467,,,
798,303,523,,,
800,920,553,,,
807,921,719,,,
810,831,545,,,
811,954,431,,,
812,142,649,,,
819,754,479,,,
822,17,508,,,
824,283,582,,,
825,462,521,,,
825,883,559,,,
826,378,422,,,
826,173,437,,,
826,524,534,,,
829,977,521,,,
830,871,406,,,
830,423,441,,,
830,356,474,,,
836,727,458,,,
836,821,527,,,
837,339,526,,,
840,718,414,,,
840,551,417,,,
840,546,427,,,
840,810,475,,,
840,678,496,,,
842,115,503,,,
843,170,415,,,
843,993,423,,,
843,817,491,,,
844,536,470,,,
847,353,525,,,
849,816,452,,,
849,21,500,,,
850,56,323,,,
850,478,341,,,
850,407,372,,,
850,96,390,,,
850,788,398,,,
850,326,408,,,
850,956,423,,,
850,138,427,,,
850,413,464,,,
853,347,514,,,
853,152,548,,,
854,439,430,,,
854,450,463,,,
854,384,503,,,
856,428,601,,,
859,70,458,,,
859,990,461,,,
864,366,377,,,
864,634,385,,,
864,178,387,,,
864,868,389,,,
864,768,397,,,
864,974,417,,,
864,310,427,,,
864,860,504,,,
866,227,460,,,
866,477,485,,,
869,169,427,,,
870,500,521,,,
871,387,457,,,
871,49,506,,,
873,86,424,,,
873,609,430,,,
873,581,483,,,
875,297,449,,,
875,953,452,,,
880,978,479,,,
880,939,553,,,
882,647,378,,,
882,898,422,,,
884,110,387,,,
884,198,402,,,
884,922,414,,,
884,795,462,,,
884,625,468,,,
885,391,290,,,
885,320,309,,,
888,460,490,,,
888,412,501,,,
890,162,429,,,
890,207,447,,,
890,658,458,,,
892,598,603,,,
893,873,349,,,
893,910,351,,,
893,305,365,,,
893,605,430,,,
896,34,434,,,
896,67,494,,,
896,913,503,,,
901,191,542,,,
903,102,636,,,
903,578,654,,,
906,204,528,,,
906,8,628,,,
908,592,295,,,
908,784,395,,,
908,940,400,,,
908,503,459,,,
909,912,440,,,
909,863,499,,,
910,838,423,,,
910,112,453,,,
910,278,455,,,
